longitude,latitude,point_id,distance_to_building_m,distance_to_park_m,distance_to_library_m,distance_to_parking_m,distance_to_footway_m,distance_to_grass_m,distance_to_fitness_centre_m,distance_to_wood_m,distance_to_wetland_m
-84.38889093,33.769877,778,178.6116195,549.5103328,729.3506051,205.173038,199.0189214,207.1702864,178.6116195,1297.481117,1481.233526
-84.38781209,33.76985415,779,278.6031039,643.8847257,810.6365595,302.190032,298.8482376,304.5405309,278.6031039,1349.397685,1541.389464
-84.38941667,33.77033891,780,131.0842412,485.784528,659.2482619,146.4762667,149.1590884,183.6393834,131.0842412,1229.052982,1411.551161
-84.38779841,33.77030465,781,280.089318,630.4169326,784.1410973,296.2930249,283.5861714,317.744448,280.089318,1307.242666,1502.57105
-84.38887725,33.77032749,782,180.5696381,533.6661641,699.7842053,196.384105,191.4140224,226.1329849,180.5696381,1254.68937,1440.79528
-84.38833783,33.77031607,783,230.2774634,581.9042377,741.4766329,246.3293256,236.707039,271.1988764,230.2774634,1280.611104,1471.157843
-84.389403,33.7707894,784,134.6761408,473.1010215,630.3601348,146.0678591,125.4726315,216.6564617,147.9327839,1186.011922,1370.881089
-84.38886358,33.77077798,785,184.6742513,522.1470517,672.6392516,196.0678252,173.5922682,253.6783911,193.1487107,1211.933484,1400.974419
-84.38995609,33.77035033,786,82.22385524,438.3761405,620.0956439,96.66373027,104.4838443,145.9819148,82.22385524,1204.83699,1383.466174
-84.39049551,33.77036174,787,34.12284512,391.6129128,582.6053075,47.24888129,54.62480738,110.3830622,36.5847844,1182.240716,1356.63336
-84.39103493,33.77037315,788,0,345.7567156,547.119074,10.29621731,7.045408065,79.74501702,22.52933579,1161.358708,1331.138419
-84.39048185,33.77081223,789,34.69626188,375.7640781,549.7040778,46.06792693,44.28987021,149.8801095,77.71407014,1137.429627,1314.293876
-84.38994242,33.77080082,790,84.68026187,424.2777504,589.2913001,96.06789302,79.70249011,181.01032,107.0597619,1160.898453,1341.973537
-84.39102127,33.77082365,791,0,327.6975363,511.9422916,0,12.47209661,124.0772609,72.51330439,1115.709234,1287.961106
-84.39100761,33.77127414,792,14.74860889,316.5811811,479.4064442,29.0638433,10.55581304,115.3246267,122.497273,1070.44857,1245.294395
-84.39046818,33.77126273,793,43.63456661,366.1101082,519.5384509,60.10996335,21.36680157,142.7479617,125.461177,1093.068709,1272.510398
-84.38992875,33.77125131,794,88.86108753,415.7518231,561.2573965,103.5310545,69.62351999,180.1504694,145.474475,1117.469581,1301.05299
-84.39099394,33.77172463,795,1.967738968,313.1479093,450.0846226,35.89793309,1.142531341,72.21185359,172.4812416,1025.628191,1203.192607
-84.38616647,33.77072085,796,434.671324,769.221931,896.0423421,446.0676557,420.8191384,475.8321601,435.2217872,1355.967707,1566.780496
-84.38778473,33.77075514,797,284.6724634,620.6959625,760.0150585,296.0677574,271.8750894,337.9025503,288.3592487,1265.658983,1464.430962
-84.38670589,33.77073228,798,384.671605,719.6453377,850.1777553,396.0676896,371.0766132,428.9563392,385.999596,1324.662159,1531.79201
-84.38724531,33.77074371,799,334.6719701,670.1316624,804.8059098,346.0677235,321.4139987,382.8718287,337.0064869,1294.531285,1497.655635
-84.3866922,33.77118278,800,385.8110907,714.6519299,830.9920844,397.9340506,369.0430876,449.6889371,398.3675669,1285.589012,1496.069866
-84.38615278,33.77117135,801,435.7092094,764.5523841,877.8596172,447.7242233,419.0270813,494.6037241,446.2275589,1317.82309,1531.874474
-84.38723163,33.77119421,802,335.9432694,664.7664356,784.5114283,348.2040164,319.0641098,405.9648217,351.1045464,1254.520036,1461.099135
-84.38721794,33.7716447,803,335.2002644,663.1382833,766.9444634,357.2238791,324.4947669,396.9027453,371.4504445,1215.248861,1425.359241
-84.38775737,33.77165612,804,285.2223923,613.1389856,719.8014634,308.7548027,275.5103618,350.2539338,327.9529186,1184.445527,1390.408071
-84.38667852,33.77163327,805,385.18388,713.1376795,814.4283106,405.8501834,373.7482416,443.9525331,416.410553,1247.296429,1461.185589
-84.38832416,33.77076656,806,234.6731669,571.3584783,715.9142588,246.0677913,222.5425126,294.559722,240.2680594,1238.133302,1432.181442
-84.38938933,33.7712399,807,137.4358408,465.4702412,604.2346633,151.0766389,119.3244688,222.5565157,177.722083,1143.255904,1330.846814
-84.38831048,33.77121706,808,236.3752214,565.0561739,693.0215399,249.0684523,219.1349299,314.1430005,259.6724295,1196.237161,1393.908879
